group_id,generation,class_code,group_number,n_members,online_ratio,master_ratio,major_diversity,leave_rate,exc_rate,point_mean,point_sum,months,pred_point_mean_oof,pred_point_mean_full,pred_leave_prob,pred_leave_prob_full,pred_exc_prob,pred_exc_prob_full
10_10_3,10,10,3,4,0.0,0.25,1.0,0.0,0.0,1.4000000000000001,4.2,3.0,1.0142663558278135,1.1551551419452457,0.19741939565786318,0.16278386300615522,0.30588027721922817,0.27811149051472533
10_10_4,10,10,4,4,1.0,0.25,1.0,0.0,0.0,-0.5,-1.5,3.0,0.646640837017921,0.35640085653158576,0.28676291140405796,0.22092845982216708,0.19757836532579123,0.17919785949061648
10_10_5,10,10,5,4,0.0,0.25,1.0,0.0,0.0,0.6999999999999998,2.0999999999999996,3.0,1.0142663558278135,1.1551551419452457,0.21088087683622858,0.1620142118318496,0.28117798122526305,0.25436572968464455
10_10_6,10,10,6,4,0.0,0.25,1.0,0.0,0.0,1.7999999999999998,5.3999999999999995,3.0,0.8601771500682988,1.1551551419452457,0.25648303403811573,0.22011706150136626,0.2565697309321317,0.2323864723948091
10_11_1,10,11,1,5,1.0,0.2,0.8,0.0,0.0,1.3333333333333333,4.0,3.0,0.11289468374218371,0.5624647874579128,0.22485734602241245,0.21390224589760684,0.3251079608912607,0.33775248938943814
10_11_2,10,11,2,4,0.0,0.25,1.0,0.0,0.0,0.06666666666666665,0.19999999999999996,3.0,0.9770924849937859,0.550288214736652,0.25878831435656846,0.22169557637028953,0.3925225387211647,0.39713121720634426
10_11_3,10,11,3,5,0.0,0.2,1.0,0.0,1.0,2.4333333333333336,7.300000000000001,3.0,2.3483695987103164,2.6674660800264567,0.2248968070267056,0.18537405053586364,0.27148707121050425,0.5080046110187542
10_11_4,10,11,4,4,0.0,0.25,1.0,0.0,0.0,0.5666666666666667,1.7,3.0,0.9770924849937859,0.550288214736652,0.2582130287741584,0.21669642264532998,0.34863106143665057,0.34603588538865654
10_12_1,10,12,1,4,0.0,0.25,1.0,0.0,0.0,,,,,0.7919540987253484,0.32794427124128306,0.2956151024202259,0.3390900011159904,0.2977521161202387
10_1_1,10,1,1,4,0.0,0.25,1.0,0.25,0.0,1.45,5.8,4.0,0.2672039749679334,0.7151938458493662,0.38083538885194473,0.3583353069068062,0.27782128598781397,0.2686616416955313
10_1_2,10,1,2,3,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,-0.5,-2.0,4.0,0.38571176707551624,0.03160775818702902,0.41707491803286345,0.4352266296571104,0.2408694656374163,0.24462817617666507
10_1_3,10,1,3,3,1.0,0.3333333333333333,1.0,0.3333333333333333,0.0,-0.5,-2.0,4.0,-0.011969993135722312,-0.12664231787117206,0.4151282412762242,0.5007053482607013,0.23973153860845572,0.20828358119563517
10_1_4,10,1,4,4,1.0,0.25,1.0,0.0,0.0,0.625,2.5,4.0,0.12312685433779184,0.3065882671456633,0.44058847277722324,0.39555318992893984,0.2164544837533228,0.20581693389417435
10_1_5,10,1,5,6,0.0,0.16666666666666666,1.0,0.0,0.0,0.5750000000000001,2.3000000000000003,4.0,0.5649693241527001,0.5407438513307681,0.33138310880462535,0.33219235458952856,0.2661390740718829,0.2734412854562912
10_1_6,10,1,6,5,0.0,0.2,1.0,0.0,0.0,0.17500000000000002,0.7000000000000001,4.0,0.8048801675485014,0.5702332046156003,0.39869094148115924,0.36511370561532697,0.18054829275878176,0.1876952730542894
10_2_1,10,2,1,6,1.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.3,1.2,4.0,0.09733718043530536,0.31934260688231586,0.328629509556518,0.30778160723927783,0.2732012881611586,0.25519486645037814
10_2_10,10,2,10,3,0.0,0.3333333333333333,1.0,0.0,0.0,0.25,1.0,4.0,0.36477013738576197,0.3495956684904596,0.3095824643445663,0.29831213406729473,0.1728031388233673,0.17044066233702568
10_2_11,10,2,11,5,0.0,0.2,0.8,0.4,0.0,0.825,3.3,4.0,0.55933892205788,0.6484658344857303,0.3248401096165666,0.40484892990018106,0.17729595483461685,0.17588614850150314
10_2_12,10,2,12,5,1.0,0.2,1.0,0.0,0.0,-0.07500000000000001,-0.30000000000000004,4.0,0.6304036450663533,0.35500656816177684,0.35596688808687404,0.3610324879514178,0.239971229690442,0.21978647407365673
10_2_13,10,2,13,5,1.0,0.2,0.8,0.2,0.0,-0.125,-0.5,4.0,0.33553943514510165,0.1319093183321308,0.38757114304147505,0.3984494503592369,0.1935666141834606,0.17107391185016704
10_2_14,10,2,14,4,1.0,0.25,1.0,0.0,0.0,0.5249999999999999,2.0999999999999996,4.0,0.13559495325276552,0.17082681878306916,0.4144151908123432,0.3936598512156032,0.2053314778643592,0.2278002709053277
10_2_2,10,2,2,6,0.0,0.16666666666666666,1.0,0.16666666666666666,0.0,0.55,2.2,4.0,0.7986218116181667,0.7210469990295197,0.32963269402971385,0.3179460380235894,0.28630175419878195,0.27670014215351846
10_2_3,10,2,3,5,0.0,0.2,0.8,0.0,0.0,0.39999999999999997,1.5999999999999999,4.0,1.2351560240299813,0.986519907407406,0.4026318919361255,0.3795032035819276,0.2258030361648263,0.21398249526159946
10_2_4,10,2,4,5,0.0,0.2,0.8,0.0,0.0,1.4,5.6,4.0,0.892701394716396,0.986519907407406,0.35253430194817115,0.3030873027169533,0.2048526520123765,0.19811298346717637
10_2_5,10,2,5,5,0.0,0.2,1.0,0.0,0.0,2.2,8.8,4.0,0.46026740921115883,1.0133353243592833,0.31507951580760485,0.31260858087483345,0.25269412774423194,0.23406528393055667
10_2_7,10,2,7,4,0.0,0.25,1.0,0.0,0.0,0.975,3.9,4.0,0.7209096896544805,0.6912477197570951,0.29770640169846013,0.31061659166202144,0.2250671669336822,0.21600496458922175
10_2_8,10,2,8,4,1.0,0.25,1.0,0.0,0.0,-0.125,-0.5,4.0,0.3334410642983559,0.17082681878306916,0.3592216698365263,0.3447947786332376,0.19598261360151797,0.18107596273630577
10_2_9,10,2,9,4,0.0,0.25,1.0,0.0,0.0,0.025000000000000022,0.10000000000000009,4.0,1.0758746916278163,0.6912477197570951,0.3708810984970661,0.36973899543337374,0.20722137808801933,0.20290905371277165
10_3_1,10,3,1,5,0.0,0.2,1.0,0.0,0.0,0.3,1.2,4.0,0.48984107443482466,0.5660827454181625,0.15587120548354072,0.15777063520849305,0.21532951066079625,0.18934033698076438
